,identifier_Id,identifier_fips,identifier_apn,identifier_attomId,lot_lotnum,lot_lotsize1,lot_lotsize2,lot_pooltype,area_blockNum,area_loctype,area_countrysecsubd,area_countyuse1,area_muncode,area_munname,area_subdname,area_taxcodearea,address_country,address_countrySubd,address_line1,address_line2,address_locality,address_matchCode,address_oneLine,address_postal1,address_postal2,address_postal3,location_accuracy,location_latitude,location_longitude,location_distance,location_geoid,location_geoIdV4_CO,location_geoIdV4_CS,location_geoIdV4_DB,location_geoIdV4_N4,location_geoIdV4_PL,location_geoIdV4_SB,location_geoIdV4_ZI,summary_absenteeInd,summary_propclass,summary_propsubtype,summary_proptype,summary_propertyType,summary_yearbuilt,summary_propLandUse,summary_propIndicator,summary_legal1,utilities_coolingtype,utilities_heatingtype,building_size_bldgsize,building_size_grosssize,building_size_grosssizeadjusted,building_size_livingsize,building_size_sizeInd,building_size_universalsize,building_rooms_bathsfull,building_rooms_bathstotal,building_interior_bsmtsize,building_interior_bsmttype,building_interior_fplccount,building_interior_fplcind,building_interior_fplctype,building_construction_condition,building_construction_constructiontype,building_construction_frameType,building_construction_roofcover,building_construction_roofShape,building_construction_wallType,building_parking_garagetype,building_parking_prkgSize,building_parking_prkgSpaces,building_parking_prkgType,building_summary_archStyle,building_summary_bldgsNum,building_summary_bldgType,building_summary_imprType,building_summary_levels,building_summary_quality,building_summary_storyDesc,building_summary_view,building_summary_viewCode,vintage_lastModified,vintage_pubDate,sale_salesearchdate,sale_saleTransDate,sale_amount_salerecdate,sale_amount_saledisclosuretype,sale_amount_saledoctype,sale_amount_saledocnum,sale_amount_saletranstype,sale_interfamily,sale_resaleornewconstruction,sale_cashormortgagepurchase,sale_vintage_lastModified,building_rooms_bathspartial,building_summary_unitsCount,sale_amount_saleamt,sale_calculation_pricepersizeunit,lot_poolind,area_srvyRange,area_srvySection,area_srvyTownship,sale_foreclosure,area_subdtractnum,utilities_heatingfuel
0,180053,56021,16885000400010,180053,1,0.1721534,7499,NO POOL,4,VIEW - NONE,Laramie,100  ,LA,LARAMIE,PARK ESTATES,0150,US,WY,4009 CARLA DR,"CHEYENNE, WY 82009",CHEYENNE,ExaStr,"4009 CARLA DR, CHEYENNE, WY 82009",82009,5548,C041,Rooftop,41.165238,-104.759763,0.0,"CO56021, CS5690715, DB5601980, PL5613900, RS0000102562, SB0000130743, SB0000130744, SB0000130754, ZI82009",16856031afb1b236f0d628bb802eac71,29392c8fb7766fb633eb98b90048e74f,30c86a3f2f5c848363c435461b716572,22b24a91277613b572bb847840bad23d,802b98230660b6ebebd36a06ec9e541e,"5b88c062457fc7330a81dec74b026e41, 2adc253f6a9750a26911d38c6cd21b9b, a12b93bb835a0e1cf6ffebe33c6738f4",ac6c213665a7701bd3617ada1ff96513,OWNER OCCUPIED,Single Family Residence / Townhouse,Residential,SFR,SINGLE FAMILY RESIDENCE,1979,SFR,10,"PARK ESTATES, 2ND FILING: LOT 1, BLOCK 4",YES,FORCED AIR,1008,2496,1008,1008,LIVING SQFT,1008,2,2.0,1008.0,FINISHED,1.0,Y,YES,AVERAGE,FRAME,WOOD,COMPOSITION SHINGLE,GABLE,WOOD,"Garage, Attached",480.0,2,"Garage, Attached",RANCH,1,CONVENTIONAL HOUSE,HOUSE,1,FAIR,CONVENTIONAL HOUSE,VIEW - NONE,000,2023-08-02,2023-08-02,2017-01-18,2017-01-10,2017-01-18,1,DEED,0000700403,Resale,N,M,C,2023-08-02,,,,,,,,,,,
1,228520,56021,18015000247070,228520,,1.11,48510,NO POOL,,VIEW - NONE,Laramie,114  ,LA,LARAMIE,SHERIDAN COURT CONDOMINIUMS,0150,US,WY,4707 HICKORY PL,"CHEYENNE, WY 82009",CHEYENNE,ExaStr,"4707 HICKORY PL, CHEYENNE, WY 82009",82009,5122,C030,Rooftop,41.161174,-104.780362,0.0,"CO56021, CS5690715, DB5601980, PL5613900, RS0004933889, SB0000130743, SB0000130744, SB0000130750, ZI82009",16856031afb1b236f0d628bb802eac71,29392c8fb7766fb633eb98b90048e74f,30c86a3f2f5c848363c435461b716572,ac4725a7497f492cc0bda6e12e09ed2d,802b98230660b6ebebd36a06ec9e541e,"5b88c062457fc7330a81dec74b026e41, 2adc253f6a9750a26911d38c6cd21b9b, 9ef520046d8a93b1b5320e8b9f7dcf2f",ac6c213665a7701bd3617ada1ff96513,OWNER OCCUPIED,Condominium (residential),Residential,CONDOMINIUM,CONDOMINIUM,1974,CONDOMINIUM,11,"SHERIDAN COURT CONDOMINIUMS: BLDG. B, UNIT 4707",,HOT WATER,8184,33164,8184,8184,LIVING SQFT,8184,8,16.0,,,,,,AVERAGE,FRAME,WOOD,COMPOSITION SHINGLE,GABLE,ALUMINUM/VINYL,,420.0,,,CONDO/APARTMENT,1,COMMERCIAL,COMMERCIAL,2,FAIR,COMMERCIAL,VIEW - NONE,000,2023-08-02,2023-08-02,2019-06-25,2019-06-21,2019-06-25,1,DEED,0000755849,Resale,N,M,M,2023-08-02,8.0,8,131906.0,16.12,,,,,,,
2,239936,56021,11054000400170,239936,"17,18",0.8264463,36000,NO POOL,4,VIEW - NONE,Laramie,100  ,LA,LARAMIE,ALL AMERICA SUBDIVISION,0117,US,WY,252 E IDAHO ST,"CHEYENNE, WY 82009",CHEYENNE,ExaStr,"252 E IDAHO ST, CHEYENNE, WY 82009",82009,8902,H056,Rooftop,41.208169,-104.825690,0.0,"CO56021, CS5690770, DB5601980, PL5663800, RS0005159805, SB0000130742, SB0000130746, SB0000130760, ZI82009",16856031afb1b236f0d628bb802eac71,e5a490a174895893b11ce251b6cea7bd,30c86a3f2f5c848363c435461b716572,,d3249a2aecfeabe2a060e532ab7d2ad4,"13e2c61b7838e57ac1998bbff557d090, 48585caa18b3bdabfd9131935f7694b4, 744f36341a01a573d4ff7c61ea2cc7ed",ac6c213665a7701bd3617ada1ff96513,OWNER OCCUPIED,Single Family Residence / Townhouse,Residential,SFR,SINGLE FAMILY RESIDENCE,1978,SFR,10,"ALL-AMERICA SUBDIVISION, 1ST FILING: LOTS 17 AND 18, BLOCK 4",,FORCED AIR,1366,2378,1366,1366,LIVING SQFT,1366,2,2.0,1012.0,FINISHED,1.0,Y,YES,AVERAGE,FRAME,WOOD,COMPOSITION SHINGLE,GABLE,WOOD,"Garage, Detached",528.0,2,"Garage, Detached",RANCH,1,CONVENTIONAL HOUSE,HOUSE,1,AVERAGE,CONVENTIONAL HOUSE,VIEW - NONE,000,2024-10-15,2024-10-15,2015-11-04,2015-10-26,2015-11-04,1,,2472/0644,Resale,N,M,,2024-10-15,,,253521.0,185.59,,,,,,,
3,240202,56021,11054000900012,240202,1,4.66,202990,,9,VIEW - NONE,Laramie,100  ,LA,LARAMIE,ALL AMERICA SUBDIVISION,0117,US,WY,9420 MICHIGAN ST,"CHEYENNE, WY 82009",CHEYENNE,ExaStr,"9420 MICHIGAN ST, CHEYENNE, WY 82009",82009,9613,R013,Rooftop,41.205629,-104.813626,0.0,"CO56021, CS5690770, DB5601980, PL5663800, SB0000130742, SB0000130746, SB0000130760, ZI82009",16856031afb1b236f0d628bb802eac71,e5a490a174895893b11ce251b6cea7bd,30c86a3f2f5c848363c435461b716572,,d3249a2aecfeabe2a060e532ab7d2ad4,"13e2c61b7838e57ac1998bbff557d090, 48585caa18b3bdabfd9131935f7694b4, 744f36341a01a573d4ff7c61ea2cc7ed",ac6c213665a7701bd3617ada1ff96513,OWNER OCCUPIED,Single Family Residence / Townhouse,Residential,SFR,SINGLE FAMILY RESIDENCE,2001,SFR,10,"ALL AMERICA SUBDIVISION, 3RD FILING: NORTH 1/2 LOT 1, BLOCK 9, DESC AS: BEG AT THE NORTHWEST COR OF SAID LOT 1; TH S 00 DEG",YES,FORCED AIR,1830,4408,1830,1830,LIVING SQFT,1830,3,3.0,1810.0,FINISHED,,,,AVERAGE,FRAME,WOOD,COMPOSITION SHINGLE,GABLE,BRICK/STONE (BRICK AND/OR STONE),Mixed,1168.0,5,Mixed,RANCH,1,CONVENTIONAL HOUSE,HOUSE,1,AVERAGE,CONVENTIONAL HOUSE,VIEW - NONE,000,2023-08-02,2023-08-02,2014-07-09,2014-06-26,2014-07-09,1,,02397/0520,Resale,N,M,,2023-08-02,,,335985.0,183.6,YES,,,,,,
4,263622,56021,13923000600141,263622,"14,15",0.2238292,9750,NO POOL,6,VIEW - NONE,Laramie,100  ,LA,LARAMIE,FRONTIER GARDENS,0150,US,WY,4717 MORAN AVE,"CHEYENNE, WY 82009",CHEYENNE,ExaStr,"4717 MORAN AVE, CHEYENNE, WY 82009",82009,5218,C036,Rooftop,41.161592,-104.774526,0.0,"CO56021, CS5690715, DB5601980, PL5613900, RS0000102494, SB0000130743, SB0000130744, SB0000130750, ZI82009",16856031afb1b236f0d628bb802eac71,29392c8fb7766fb633eb98b90048e74f,30c86a3f2f5c848363c435461b716572,5c0988930d223ac4d02a8c930641c123,802b98230660b6ebebd36a06ec9e541e,"5b88c062457fc7330a81dec74b026e41, 2adc253f6a9750a26911d38c6cd21b9b, 9ef520046d8a93b1b5320e8b9f7dcf2f",ac6c213665a7701bd3617ada1ff96513,OWNER OCCUPIED,Single Family Residence / Townhouse,Residential,SFR,SINGLE FAMILY RESIDENCE,1965,SFR,10,"FRONTIER GARDENS, 3RD FILING: NORTH 51' OF LOT 15; SOUTH 27' OF LOT 14, BLOCK 6",,FORCED AIR,960,2232,960,960,LIVING SQFT,960,2,2.0,960.0,FINISHED,1.0,Y,YES,AVERAGE,FRAME,WOOD,COMPOSITION SHINGLE,GABLE,ALUMINUM/VINYL,Mixed,888.0,3,Mixed,RANCH,1,CONVENTIONAL HOUSE,HOUSE,1,FAIR,CONVENTIONAL HOUSE,VIEW - NONE,000,2024-10-15,2024-10-15,2021-01-19,2020-12-22,2021-01-19,1,,2715/883,Resale,N,M,,2024-10-15,,,357688.0,372.59,,,,,,,
5,268220,56021,16913001700080,268220,8,0.137741,6000,NO POOL,17,VIEW - NONE,Laramie,100  ,LA,LARAMIE,PARK PLAZA TECH CENTER,0150,US,WY,4701 ONTARIO AVE,"CHEYENNE, WY 82009",CHEYENNE,ExaStr,"4701 ONTARIO AVE, CHEYENNE, WY 82009",82009,5633,C041,Rooftop,41.161421,-104.752784,0.0,"CO56021, CS5690715, DB5601980, PL5613900, RS0004937528, SB0000130743, SB0000130744, SB0000130754, ZI82009",16856031afb1b236f0d628bb802eac71,29392c8fb7766fb633eb98b90048e74f,30c86a3f2f5c848363c435461b716572,9b701c3eef7d4f53098164dd4037751e,802b98230660b6ebebd36a06ec9e541e,"5b88c062457fc7330a81dec74b026e41, 2adc253f6a9750a26911d38c6cd21b9b, a12b93bb835a0e1cf6ffebe33c6738f4",ac6c213665a7701bd3617ada1ff96513,OWNER OCCUPIED,Single Family Residence / Townhouse,Residential,SFR,SINGLE FAMILY RESIDENCE,1983,SFR,10,"PARK PLAZA TECH CENTER, 2ND FILING: LOT 8, LESS S 3.33', BLOCK 17",,FORCED AIR,912,2224,912,912,LIVING SQFT,912,2,2.0,912.0,FINISHED,1.0,Y,YES,AVERAGE,FRAME,WOOD,COMPOSITION SHINGLE,GABLE,ALUMINUM/VINYL,"Garage, Attached",400.0,2,"Garage, Attached",RANCH,1,CONVENTIONAL HOUSE,HOUSE,1,FAIR,CONVENTIONAL HOUSE,VIEW - NONE,000,2024-10-15,2024-10-15,2020-11-03,2020-10-23,2020-11-03,1,,2703/266,Resale,N,M,,2024-10-15,,,276760.0,303.46,,,,,,,
6,273859,56021,15955000400100,273859,10,0.1636823,7130,NO POOL,4,VIEW - NONE,Laramie,100  ,LA,LARAMIE,MONTEREY HEIGHTS,0150,US,WY,6901 WILLSHIRE BLVD,"CHEYENNE, WY 82009",CHEYENNE,ExaStr,"6901 WILLSHIRE BLVD, CHEYENNE, WY 82009",82009,2708,C050,Rooftop,41.180283,-104.817633,0.0,"CO56021, CS5690715, DB5601980, PL5613900, RS0000102427, SB0000130742, SB0000130746, SB0000130760, ZI82009",16856031afb1b236f0d628bb802eac71,29392c8fb7766fb633eb98b90048e74f,30c86a3f2f5c848363c435461b716572,e3aaf6e44399487e30ca5076fa508856,802b98230660b6ebebd36a06ec9e541e,"13e2c61b7838e57ac1998bbff557d090, 48585caa18b3bdabfd9131935f7694b4, 744f36341a01a573d4ff7c61ea2cc7ed",ac6c213665a7701bd3617ada1ff96513,OWNER OCCUPIED,Single Family Residence / Townhouse,Residential,SFR,SINGLE FAMILY RESIDENCE,1963,SFR,10,"MONTEREY HEIGHTS, 1ST FILING: LOT 10, BLOCK 4",,FORCED AIR,1498,2798,1498,1498,LIVING SQFT,1498,2,2.0,936.0,FINISHED,1.0,Y,YES,AVERAGE,FRAME,WOOD,COMPOSITION SHINGLE,GABLE,BRICK/STONE (BRICK AND/OR STONE),"Garage, Attached",364.0,1,"Garage, Attached",,1,CONVENTIONAL HOUSE,HOUSE,2,FAIR,CONVENTIONAL HOUSE,VIEW - NONE,000,2024-10-28,2024-10-28,2005-05-02,2005-04-29,2005-05-02,1,,1878/0623,Resale,N,M,,2024-10-28,,,146826.0,98.01,,,,,,,
7,276339,56021,13923000600110,276339,11,0.170753,7438,NO POOL,6,VIEW - NONE,Laramie,100  ,LA,LARAMIE,FRONTIER GARDENS,0150,US,WY,4755 MORAN AVE,"CHEYENNE, WY 82009",CHEYENNE,ExaStr,"4755 MORAN AVE, CHEYENNE, WY 82009",82009,5218,C036,Rooftop,41.162781,-104.774516,0.0,"CO56021, CS5690715, DB5601980, PL5613900, RS0000102494, SB0000130743, SB0000130744, SB0000130750, ZI82009",16856031afb1b236f0d628bb802eac71,29392c8fb7766fb633eb98b90048e74f,30c86a3f2f5c848363c435461b716572,5c0988930d223ac4d02a8c930641c123,802b98230660b6ebebd36a06ec9e541e,"5b88c062457fc7330a81dec74b026e41, 2adc253f6a9750a26911d38c6cd21b9b, 9ef520046d8a93b1b5320e8b9f7dcf2f",ac6c213665a7701bd3617ada1ff96513,ABSENTEE(MAIL AND SITUS NOT =),Single Family Residence / Townhouse,Residential,SFR,SINGLE FAMILY RESIDENCE,1961,SFR,10,"FRONTIER GARDENS, 3RD FILING: NORTH 59.5' OF SOUTH 74.5' LOT 11, BLOCK 6",,FORCED AIR,957,2262,957,957,LIVING SQFT,957,1,1.0,957.0,FINISHED,,,,AVERAGE,FRAME,WOOD,COMPOSITION SHINGLE,GABLE,ALUMINUM/VINYL,"Garage, Attached",348.0,1,"Garage, Attached",RANCH,1,CONVENTIONAL HOUSE,HOUSE,1,FAIR,CONVENTIONAL HOUSE,VIEW - NONE,000,2023-08-02,2023-08-02,2011-10-21,2011-10-19,2011-10-21,1,DEED,0000578055,Resale,N,M,C,2023-08-02,,,,,,,,,,,
8,278288,56021,14870001400040,278288,4,0.2117769,9225,NO POOL,14,VIEW - NONE,Laramie,100  ,LA,LARAMIE,INDIAN HILLS,0150,US,WY,729 APACHE ST,"CHEYENNE, WY 82009",CHEYENNE,ExaStr,"729 APACHE ST, CHEYENNE, WY 82009",82009,4220,C045,Rooftop,41.168310,-104.817293,0.0,"CO56021, CS5690715, DB5601980, PL5613900, RS0004915984, SB0000130742, SB0000130746, SB0000130760, ZI82009",16856031afb1b236f0d628bb802eac71,29392c8fb7766fb633eb98b90048e74f,30c86a3f2f5c848363c435461b716572,e9f102cd146fae8195186bfa168df984,802b98230660b6ebebd36a06ec9e541e,"13e2c61b7838e57ac1998bbff557d090, 48585caa18b3bdabfd9131935f7694b4, 744f36341a01a573d4ff7c61ea2cc7ed",ac6c213665a7701bd3617ada1ff96513,OWNER OCCUPIED,Single Family Residence / Townhouse,Residential,SFR,SINGLE FAMILY RESIDENCE,1958,SFR,10,"INDIAN HILLS: LOT 4, BLOCK 14",YES,FORCED AIR,1152,2064,1152,1152,LIVING SQFT,1152,1,2.0,912.0,FINISHED,1.0,Y,YES,AVERAGE,FRAME,WOOD,COMPOSITION SHINGLE,GABLE,ALUMINUM/VINYL,"Garage, Detached",576.0,2,"Garage, Detached",RANCH,1,CONVENTIONAL HOUSE,HOUSE,1,LOW,CONVENTIONAL HOUSE,VIEW - NONE,000,2022-11-11,2022-11-11,2020-06-30,2020-06-30,2020-06-30,1,DEED,0000781907,Resale,N,M,M,2022-11-11,1.0,,264528.0,229.63,,,,,,,
9,302952,56021,00014006712100,302952,,2.99,130244,NO POOL,,VIEW - NONE,Laramie,100  ,LA,LARAMIE,,0117,US,WY,7812 YELLOWSTONE RD,"CHEYENNE, WY 82009",CHEYENNE,ExaStr,"7812 YELLOWSTONE RD, CHEYENNE, WY 82009",82009,1618,H056,Rooftop,41.190017,-104.830300,0.0,"CO56021, CS5690715, DB5601980, PL5663800, SB0000130742, SB0000130746, SB0000130762, ZI82009",16856031afb1b236f0d628bb802eac71,29392c8fb7766fb633eb98b90048e74f,30c86a3f2f5c848363c435461b716572,,d3249a2aecfeabe2a060e532ab7d2ad4,"48585caa18b3bdabfd9131935f7694b4, 3213fa0a50a52e4a2881a92686f6c00e, 744f36341a01a573d4ff7c61ea2cc7ed",ac6c213665a7701bd3617ada1ff96513,OWNER OCCUPIED,Single Family Residence / Townhouse,Residential,SFR,SINGLE FAMILY RESIDENCE,1978,SFR,10,"14-67: POR OF SE1/4 SE1/4 SEC 12, DESC AS: BEG AT A PNT MARKED BY A #5 REBAR WITH ALUMINUM CAP ATTACHED, WHICH PNT IS 35' N",YES,FORCED AIR,1860,3310,1860,1860,LIVING SQFT,1860,2,3.0,800.0,FINISHED,1.0,Y,YES,AVERAGE,FRAME,WOOD,COMPOSITION SHINGLE,GABLE,ALUMINUM/VINYL,"Garage, Attached",650.0,2,"Garage, Attached",,1,CONVENTIONAL HOUSE,HOUSE,2,AVERAGE,CONVENTIONAL HOUSE,VIEW - NONE,000,2023-08-02,2023-08-02,2006-11-20,2006-11-20,2006-11-20,1,DEED,0000461943,REO (Real Estate-Owned),N,,C,2023-08-02,1.0,,226000.0,121.51,,67,12,14,P,,
