,lot_lotsize1,lot_lotsize2,lot_pooltype,area_blockNum,area_subdname,area_taxcodearea,address_line1,address_locality,address_postal2,address_postal3,location_accuracy,location_geoIdV4_CO,summary_proptype,summary_propertyType,summary_yearbuilt,summary_propIndicator,utilities_heatingtype,building_size_bldgsize,building_size_grosssize,building_size_grosssizeadjusted,building_size_livingsize,building_size_sizeInd,building_size_universalsize,building_rooms_bathsfull,building_rooms_bathstotal,building_interior_bsmtsize,building_interior_bsmttype,building_interior_fplcind,building_interior_fplctype,building_construction_constructiontype,building_construction_roofcover,building_construction_roofShape,building_construction_wallType,building_parking_garagetype,building_parking_prkgSize,building_parking_prkgSpaces,building_parking_prkgType,building_summary_archStyle,building_summary_bldgType,building_summary_imprType,building_summary_levels,building_summary_quality,building_summary_storyDesc,building_summary_viewCode,sale_amount_saletranstype,sale_amount_saleamt,sale_calculation_pricepersizeunit
2,0.8264463,36000,NO POOL,4,ALL AMERICA SUBDIVISION,0117,252 E IDAHO ST,CHEYENNE,8902,H056,Rooftop,16856031afb1b236f0d628bb802eac71,SFR,SINGLE FAMILY RESIDENCE,1978,10,FORCED AIR,1366,2378,1366,1366,LIVING SQFT,1366,2,2.0,1012.0,FINISHED,Y,YES,FRAME,COMPOSITION SHINGLE,GABLE,WOOD,"Garage, Detached",528.0,2,"Garage, Detached",RANCH,CONVENTIONAL HOUSE,HOUSE,1,AVERAGE,CONVENTIONAL HOUSE,000,Resale,253521.0,185.59
4,0.2238292,9750,NO POOL,6,FRONTIER GARDENS,0150,4717 MORAN AVE,CHEYENNE,5218,C036,Rooftop,16856031afb1b236f0d628bb802eac71,SFR,SINGLE FAMILY RESIDENCE,1965,10,FORCED AIR,960,2232,960,960,LIVING SQFT,960,2,2.0,960.0,FINISHED,Y,YES,FRAME,COMPOSITION SHINGLE,GABLE,ALUMINUM/VINYL,Mixed,888.0,3,Mixed,RANCH,CONVENTIONAL HOUSE,HOUSE,1,FAIR,CONVENTIONAL HOUSE,000,Resale,357688.0,372.59
5,0.137741,6000,NO POOL,17,PARK PLAZA TECH CENTER,0150,4701 ONTARIO AVE,CHEYENNE,5633,C041,Rooftop,16856031afb1b236f0d628bb802eac71,SFR,SINGLE FAMILY RESIDENCE,1983,10,FORCED AIR,912,2224,912,912,LIVING SQFT,912,2,2.0,912.0,FINISHED,Y,YES,FRAME,COMPOSITION SHINGLE,GABLE,ALUMINUM/VINYL,"Garage, Attached",400.0,2,"Garage, Attached",RANCH,CONVENTIONAL HOUSE,HOUSE,1,FAIR,CONVENTIONAL HOUSE,000,Resale,276760.0,303.46
8,0.2117769,9225,NO POOL,14,INDIAN HILLS,0150,729 APACHE ST,CHEYENNE,4220,C045,Rooftop,16856031afb1b236f0d628bb802eac71,SFR,SINGLE FAMILY RESIDENCE,1958,10,FORCED AIR,1152,2064,1152,1152,LIVING SQFT,1152,1,2.0,912.0,FINISHED,Y,YES,FRAME,COMPOSITION SHINGLE,GABLE,ALUMINUM/VINYL,"Garage, Detached",576.0,2,"Garage, Detached",RANCH,CONVENTIONAL HOUSE,HOUSE,1,LOW,CONVENTIONAL HOUSE,000,Resale,264528.0,229.63
13,0.2090909,9108,NO POOL,3,YELLOWSTONE ADDITION,0150,132 DELL RANGE BLVD,CHEYENNE,4706,C043,Rooftop,16856031afb1b236f0d628bb802eac71,SFR,SINGLE FAMILY RESIDENCE,1965,10,FORCED AIR,1380,2676,1380,1380,LIVING SQFT,1380,2,2.0,1044.0,FINISHED,Y,YES,FRAME,COMPOSITION SHINGLE,GABLE,BRICK/STONE (BRICK AND/OR STONE),"Garage, Attached",252.0,1,"Garage, Attached",RANCH,CONVENTIONAL HOUSE,HOUSE,1,FAIR,CONVENTIONAL HOUSE,000,Resale,145500.0,105.43
15,0.0407484,1775,NO POOL,1,ATRIUM TOWNHOMES,0150,1427 TRENT CT,CHEYENNE,4078,C046,Rooftop,16856031afb1b236f0d628bb802eac71,TOWNHOUSE/ROWHOUSE,TOWNHOUSE,1985,10,FORCED AIR,1296,2020,1296,1296,LIVING SQFT,1296,2,3.0,724.0,FINISHED,Y,YES,FRAME,COMPOSITION SHINGLE,GABLE,WOOD,"Garage, Detached",528.0,2,"Garage, Detached",TOWNHOUSE,MISCELLANEOUS,MISCELLANEOUS,2,FAIR,MISCELLANEOUS,000,Resale,306783.0,236.72
26,0.1948577,8488,NO POOL,12,CENTURY WEST,0150,5110 TEN SLEEP DR,CHEYENNE,4939,C030,Rooftop,16856031afb1b236f0d628bb802eac71,SFR,SINGLE FAMILY RESIDENCE,1978,10,FORCED AIR,1382,2262,1382,1382,LIVING SQFT,1382,2,3.0,440.0,FINISHED,Y,YES,FRAME,COMPOSITION SHINGLE,GABLE,WOOD,"Garage, Built-in",440.0,2,"Garage, Built-in",SPLIT LEVEL,CONVENTIONAL HOUSE,HOUSE,2,AVERAGE,CONVENTIONAL HOUSE,000,Resale,212240.0,153.57
43,0.2066116,9000,NO POOL,2,THE BLUFFS,0150,2308 PATTISON AVE,CHEYENNE,5012,C030,Rooftop,16856031afb1b236f0d628bb802eac71,SFR,SINGLE FAMILY RESIDENCE,1977,10,FORCED AIR,1173,2796,1173,1173,LIVING SQFT,1173,3,3.0,1073.0,FINISHED,Y,YES,FRAME,COMPOSITION SHINGLE,GABLE,ALUMINUM/VINYL,"Garage, Attached",550.0,2,"Garage, Attached",BI-LEVEL,CONVENTIONAL HOUSE,HOUSE,1,FAIR,CONVENTIONAL HOUSE,000,Resale,405000.0,345.27
45,0.1492195,6500,NO POOL,13,CENTURY WEST,0150,5201 TEN SLEEP DR,CHEYENNE,4943,C030,Rooftop,16856031afb1b236f0d628bb802eac71,SFR,SINGLE FAMILY RESIDENCE,1978,10,FORCED AIR,962,2290,962,962,LIVING SQFT,962,2,2.0,816.0,FINISHED,Y,YES,FRAME,COMPOSITION SHINGLE,GABLE/HIP,WOOD,"Garage, Attached",512.0,2,"Garage, Attached",BI-LEVEL,CONVENTIONAL HOUSE,HOUSE,1,AVERAGE,CONVENTIONAL HOUSE,000,Resale,330687.0,343.75
47,0.0459137,2000,NO POOL,1,BBP ADDITION,0150,4958 KING ARTHUR WAY,CHEYENNE,5032,C030,Rooftop,16856031afb1b236f0d628bb802eac71,TOWNHOUSE/ROWHOUSE,TOWNHOUSE,1979,10,FORCED AIR,1000,1400,1000,1000,LIVING SQFT,1000,2,2.0,460.0,FINISHED,Y,YES,FRAME,COMPOSITION SHINGLE,GABLE,BRICK/STONE (BRICK AND/OR STONE),"Garage, Attached",400.0,2,"Garage, Attached",TOWNHOUSE,MISCELLANEOUS,MISCELLANEOUS,2,LOW,MISCELLANEOUS,000,Resale,182876.0,182.88
